Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период Выручка;DohIRasPoObyVidDeyZaOtcPerVyr;3;;Доходы и расходы по обычным видам деятельности за отчетный период Выручка;Доходы и расходы по обычным видам деятельности за отчетный период Выручка
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период Себестои-мость продаж;DohIRasPoObyVidDeyZaOtcPerSebPro;4;;Доходы и расходы по обычным видам деятельности за отчетный период Себестои-мость продаж;Доходы и расходы по обычным видам деятельности за отчетный период Себестои-мость продаж
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период Валовая прибыль;DohIRasPoObyVidDeyZaOtcPerValPri;5;;Доходы и расходы по обычным видам деятельности за отчетный период Валовая прибыль;Доходы и расходы по обычным видам деятельности за отчетный период Валовая прибыль
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период Коммерчес-кие и управ-ленческие расходы;DohIRasPoObyVidDeyZaOtcPerKomIUprRas;6;;Доходы и расходы по обычным видам деятельности за отчетный период Коммерчес-кие и управ-ленческие расходы;Доходы и расходы по обычным видам деятельности за отчетный период Коммерчес-кие и управ-ленческие расходы
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период в том числе:;DohIRasPoObyVidDeyZaOtcPerVToChi;7;8;Доходы и расходы по обычным видам деятельности за отчетный период в том числе:;Доходы и расходы по обычным видам деятельности за отчетный период в том числе:
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период Себестои-мость продаж с учетом ком-мерческих и управленчес-ких расходов;DohIRasPoObyVidDeyZaOtcPerSebProSUchKomIUprRas;9;;Доходы и расходы по обычным видам деятельности за отчетный период Себестои-мость продаж с учетом ком-мерческих и управленчес-ких расходов;Доходы и расходы по обычным видам деятельности за отчетный период Себестои-мость продаж с учетом ком-мерческих и управленчес-ких расходов
T24_000000_t23Ved14.xlsx;Доходы и расходы по обычным видам деятельности за отчетный период Прибыль, убыток (-) от продаж;DohIRasPoObyVidDeyZaOtcPerPriUby(-OtPro;10;;Доходы и расходы по обычным видам деятельности за отчетный период Прибыль, убыток (-) от продаж;Доходы и расходы по обычным видам деятельности за отчетный период Прибыль, убыток (-) от продаж
T24_000000_t23Ved14.xlsx;Отчетный год Сальдо прочих доходов и расходов;OtcGoSalProDohIRas;11;;Отчетный год Сальдо прочих доходов и расходов;Отчетный год Сальдо прочих доходов и расходов
T24_000000_t23Ved14.xlsx;Отчетный год Прибыль (убыток) до налого-обложения;OtcGoPri(ubDoNal;12;13;Отчетный год Прибыль (убыток) до налого-обложения;"""конец"",""отчетный"",""Отчетный год"""
T24_000000_t23Ved14.xlsx;Отчетный год Отложенный налог на прибыль;OtcGoOtlNalNaPri;14;;Отчетный год Отложенный налог на прибыль;Отчетный год Отложенный налог на прибыль
