table_num,table_name,excel_source,row,col,is_header_row,cell_type,value
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,1,False,OKVED_NAME,7314402
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,2,False,DATA,7108551
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,3,False,DATA,7108551
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,4,False,DATA,7108551
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,5,False,DATA,1953876
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,6,False,DATA,1953876
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,7,False,DATA,1624572
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,8,False,DATA,1624572
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,9,False,DATA,5360526
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,10,False,DATA,5360526
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,11,False,DATA,5483979
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,0,False,OKVED_CODE,"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,1,False,OKVED_NAME,55948034
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,2,False,DATA,62855768
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,3,False,DATA,62855768
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,4,False,DATA,62855768
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,5,False,DATA,28987028
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,14,6,False,DATA,28987028
